VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2283;Sollefteå;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2283;Sollefteå;ANDOPARTIET; ;1602;;
KF;2283;Sollefteå;Arbetarepartiet-Socialdemokraterna;S;2;34.02901699123284;https://www.socialdemokraterna.se/
KF;2283;Sollefteå;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2283;Sollefteå;Centerpartiet;C;4;19.59810691287144;https://www.centerpartiet.se/
KF;2283;Sollefteå;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2283;Sollefteå;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2283;Sollefteå;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2283;Sollefteå;Enad Politik; ;1589;;
KF;2283;Sollefteå;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2283;Sollefteå;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2283;Sollefteå;EUSEC; ;1534;;
KF;2283;Sollefteå;Feministiskt initiativ;FI;532;0.20172239894483668;https://feministisktinitiativ.se/
KF;2283;Sollefteå;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2283;Sollefteå;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2283;Sollefteå;Fredspartiet; ;1484;;
KF;2283;Sollefteå;Fria Wermland; ;1548;;https://friawermland.se/
KF;2283;Sollefteå;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2283;Sollefteå;Fritt val; ;1479;;
KF;2283;Sollefteå;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2283;Sollefteå;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2283;Sollefteå;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2283;Sollefteå;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2283;Sollefteå;Humanistisk demokrati (HD);HD;1480;;
KF;2283;Sollefteå;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2283;Sollefteå;Kalle ankapartiet; ;1579;;
KF;2283;Sollefteå;Kapitalism med vänligt ansikte; ;1495;;
KF;2283;Sollefteå;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2283;Sollefteå;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2283;Sollefteå;Kristdemokraterna;KD;68;1.318954146947009;https://kristdemokraterna.se/
KF;2283;Sollefteå;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2283;Sollefteå;Kärlek; ;1465;;
KF;2283;Sollefteå;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2283;Sollefteå;Liberalerna (tidigare Folkpartiet);L;3;0.7603382729459229;https://www.liberalerna.se/
KF;2283;Sollefteå;Majspartiet; ;1471;;
KF;2283;Sollefteå;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2283;Sollefteå;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2283;Sollefteå;Miljöpartiet de gröna;MP;55;0.9775777795019008;https://www.mp.se/
KF;2283;Sollefteå;Min röst; ;1437;;
KF;2283;Sollefteå;MITT SVERIGE; ;1591;;
KF;2283;Sollefteå;Moderaterna;M;1;5.376677787260455;https://moderaterna.se/
KF;2283;Sollefteå;Monisterna; ;1502;;
KF;2283;Sollefteå;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2283;Sollefteå;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2283;Sollefteå;NaturFilosoferna; ;1460;;
KF;2283;Sollefteå;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2283;Sollefteå;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2283;Sollefteå;Nya Frihetspartiet; ;1443;;
KF;2283;Sollefteå;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2283;Sollefteå;OK; ;1478;;
KF;2283;Sollefteå;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2283;Sollefteå;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2283;Sollefteå;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2283;Sollefteå;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2283;Sollefteå;Pax; ;1491;;https://www.paxpartiet.se/
KF;2283;Sollefteå;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2283;Sollefteå;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2283;Sollefteå;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2283;Sollefteå;Rikspolitiska partiet; ;1496;;
KF;2283;Sollefteå;SKP; ;1586;;https://skp.se
KF;2283;Sollefteå;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2283;Sollefteå;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2283;Sollefteå;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2283;Sollefteå;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2283;Sollefteå;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2283;Sollefteå;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2283;Sollefteå;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2283;Sollefteå;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2283;Sollefteå;Sverigedemokraterna;SD;110;7.161145162541701;https://sd.se/
KF;2283;Sollefteå;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2283;Sollefteå;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2283;Sollefteå;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2283;Sollefteå;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2283;Sollefteå;Valsamverkanspartiet; ;1526;;
KF;2283;Sollefteå;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2283;Sollefteå;Vänsterpartiet;V;5;11.924897199162077;https://www.vansterpartiet.se/
