VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;881;Nybro;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;881;Nybro;ANDOPARTIET; ;1602;;
KF;881;Nybro;Arbetarepartiet-Socialdemokraterna;S;2;29.2859929769801;https://www.socialdemokraterna.se/
KF;881;Nybro;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;881;Nybro;Centerpartiet;C;4;26.063207179087005;https://www.centerpartiet.se/
KF;881;Nybro;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;881;Nybro;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;881;Nybro;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;881;Nybro;Enad Politik; ;1589;;
KF;881;Nybro;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;881;Nybro;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;881;Nybro;EUSEC; ;1534;;
KF;881;Nybro;Feministiskt initiativ;FI;532;0.09364026531408505;https://feministisktinitiativ.se/
KF;881;Nybro;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;881;Nybro;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;881;Nybro;Fredspartiet; ;1484;;
KF;881;Nybro;Fria Wermland; ;1548;;https://friawermland.se/
KF;881;Nybro;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;881;Nybro;Fritt val; ;1479;;
KF;881;Nybro;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;881;Nybro;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;881;Nybro;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;881;Nybro;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;881;Nybro;Humanistisk demokrati (HD);HD;1480;;
KF;881;Nybro;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
