VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1287;Trelleborg;Alternativ för Sverige;AfS;1325;
KF;1287;Trelleborg;ANDOPARTIET; ;1602;
KF;1287;Trelleborg;Arbetarepartiet-Socialdemokraterna;S;2;23.425437524015788
KF;1287;Trelleborg;Basinkomstpartiet; ;1525;
KF;1287;Trelleborg;Centerpartiet;C;4;5.051175463723059
KF;1287;Trelleborg;Common sense in Sweden;CSIS;1318;0.0
KF;1287;Trelleborg;Direktdemokraterna;DD;1150;0.0
KF;1287;Trelleborg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1287;Trelleborg;Enad Politik; ;1589;
KF;1287;Trelleborg;Enade Sverige; ;1448;
KF;1287;Trelleborg;Enhet;ENH;189;0.0
KF;1287;Trelleborg;EUSEC; ;1534;
KF;1287;Trelleborg;Feministiskt initiativ;FI;532;0.12924861145072833
KF;1287;Trelleborg;FOLKOMROSTA2021.SE; ;1489;
KF;1287;Trelleborg;FramtidsTro;FT;1449;
KF;1287;Trelleborg;Fredspartiet; ;1484;
KF;1287;Trelleborg;Fria Wermland; ;1548;
KF;1287;Trelleborg;Frihetsrörelsen; ;1573;
KF;1287;Trelleborg;Fritt val; ;1479;
KF;1287;Trelleborg;Förenade Demokratiska Partiet; ;1577;
KF;1287;Trelleborg;Företaget Sverige; ;1510;
KF;1287;Trelleborg;GRÖNA DEMOKRATER; ;1601;
KF;1287;Trelleborg;Gula västarna; ;1436;
KF;1287;Trelleborg;Humanistisk demokrati (HD);HD;1480;
KF;1287;Trelleborg;John Mikkonen; ;1598;
KF;1287;Trelleborg;Kalle ankapartiet; ;1579;
KF;1287;Trelleborg;Kapitalism med vänligt ansikte; ;1495;
KF;1287;Trelleborg;Klassiskt liberala partiet;KLP;638;0.0
KF;1287;Trelleborg;Knapptryckarna; ;1505;
KF;1287;Trelleborg;Kristdemokraterna;KD;68;4.841583120829986
KF;1287;Trelleborg;Kristna Värdepartiet; ;1551;
KF;1287;Trelleborg;Kärlek; ;1465;
KF;1287;Trelleborg;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1287;Trelleborg;Liberalerna (tidigare Folkpartiet);L;3;4.464316903622454
KF;1287;Trelleborg;Majspartiet; ;1471;
KF;1287;Trelleborg;Medborgarresan; ;1330;
KF;1287;Trelleborg;Medborgerlig Samling;MED;1296;0.21657875432284207
KF;1287;Trelleborg;Miljöpartiet de gröna;MP;55;3.8425262863730048
KF;1287;Trelleborg;Min röst; ;1437;
KF;1287;Trelleborg;MITT SVERIGE; ;1591;
KF;1287;Trelleborg;Moderaterna;M;1;22.26569322667412
KF;1287;Trelleborg;Monisterna; ;1502;
KF;1287;Trelleborg;Mälaröarnas parti; ;1440;
KF;1287;Trelleborg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1287;Trelleborg;NaturFilosoferna; ;1460;
KF;1287;Trelleborg;Nix to the Six; ;1519;
KF;1287;Trelleborg;NY REFORM; ;1528;
KF;1287;Trelleborg;Nya Frihetspartiet; ;1443;
KF;1287;Trelleborg;Nya Samhällspartiet; ;1438;
KF;1287;Trelleborg;OK; ;1478;
KF;1287;Trelleborg;Ond Kyckling Partiet; ;1472;
KF;1287;Trelleborg;Partiet Folkomröstning; ;1578;
KF;1287;Trelleborg;Partiet Nyans; ;1439;
KF;1287;Trelleborg;Partiet Vändpunkt;PV;1430;
KF;1287;Trelleborg;Pax; ;1491;
KF;1287;Trelleborg;Piratpartiet;PP;524;0.0
KF;1287;Trelleborg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1287;Trelleborg;Rastliberalerna; ;1508;
KF;1287;Trelleborg;Rikspolitiska partiet; ;1496;
KF;1287;Trelleborg;SKP; ;1586;
KF;1287;Trelleborg;SKÅNEPARTIET;SKÅ;54;0.0
KF;1287;Trelleborg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1287;Trelleborg;Sociallibertarianerna; ;1507;
KF;1287;Trelleborg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1287;Trelleborg;Stram Kurs Sverige; ;1592;
KF;1287;Trelleborg;Svenska Rikslagen; ;1513;
KF;1287;Trelleborg;SVENSKARNA; ;1444;
KF;1287;Trelleborg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1287;Trelleborg;Sverigedemokraterna;SD;110;25.259370524330176
KF;1287;Trelleborg;Sverigepartiet; ;1457;
KF;1287;Trelleborg;Swexitpartiet; ;1461;
KF;1287;Trelleborg;Säkerhetspartiet; ;1466;
KF;1287;Trelleborg;TRYGGHETSPARTIET;TRP;1309;0.1047961714465365
KF;1287;Trelleborg;Valsamverkanspartiet; ;1526;
KF;1287;Trelleborg;Vinningspartiet; ;1468;
KF;1287;Trelleborg;Vårt Söderslätt;SÖS;1006;6.8816152583225625
KF;1287;Trelleborg;Vänsterpartiet;V;5;2.98669088622629
KF;1287;Trelleborg;Yggdrasil; ;1454;
KF;1287;Trelleborg;Ändrings partiet revolution; ;1404;
