VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2132;Nordanstig;Alternativ för Sverige;AfS;1325;
KF;2132;Nordanstig;ANDOPARTIET; ;1602;
KF;2132;Nordanstig;Arbetarepartiet-Socialdemokraterna;S;2;29.998346287415245
KF;2132;Nordanstig;Basinkomstpartiet; ;1525;
KF;2132;Nordanstig;Centerpartiet;C;4;14.519596494129319
KF;2132;Nordanstig;Common sense in Sweden;CSIS;1318;0.0
KF;2132;Nordanstig;Direktdemokraterna;DD;1150;0.0
KF;2132;Nordanstig;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2132;Nordanstig;Enad Politik; ;1589;
KF;2132;Nordanstig;Enade Sverige; ;1448;
KF;2132;Nordanstig;Enhet;ENH;189;0.0
KF;2132;Nordanstig;EUSEC; ;1534;
KF;2132;Nordanstig;Feministiskt initiativ;FI;532;0.0826856292376385
KF;2132;Nordanstig;FOLKOMROSTA2021.SE; ;1489;
KF;2132;Nordanstig;FramtidsTro;FT;1449;
KF;2132;Nordanstig;Fredspartiet; ;1484;
KF;2132;Nordanstig;Fria Wermland; ;1548;
KF;2132;Nordanstig;Frihetsrörelsen; ;1573;
KF;2132;Nordanstig;Fritt val; ;1479;
KF;2132;Nordanstig;Förenade Demokratiska Partiet; ;1577;
KF;2132;Nordanstig;Företaget Sverige; ;1510;
KF;2132;Nordanstig;GRÖNA DEMOKRATER; ;1601;
KF;2132;Nordanstig;Gula västarna; ;1436;
KF;2132;Nordanstig;Humanistisk demokrati (HD);HD;1480;
KF;2132;Nordanstig;John Mikkonen; ;1598;
KF;2132;Nordanstig;Kalle ankapartiet; ;1579;
KF;2132;Nordanstig;Kapitalism med vänligt ansikte; ;1495;
KF;2132;Nordanstig;Klassiskt liberala partiet;KLP;638;0.0
KF;2132;Nordanstig;Knapptryckarna; ;1505;
KF;2132;Nordanstig;Kristdemokraterna;KD;68;5.126509012733587
KF;2132;Nordanstig;Kristna Värdepartiet; ;1551;
KF;2132;Nordanstig;Kärlek; ;1465;
KF;2132;Nordanstig;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2132;Nordanstig;Liberalerna (tidigare Folkpartiet);L;3;4.465023978832479
KF;2132;Nordanstig;Majspartiet; ;1471;
KF;2132;Nordanstig;Medborgarresan; ;1330;
KF;2132;Nordanstig;Medborgerlig Samling;MED;1296;0.0
KF;2132;Nordanstig;Miljöpartiet de gröna;MP;55;1.5214155779725484
KF;2132;Nordanstig;Min röst; ;1437;
KF;2132;Nordanstig;MITT SVERIGE; ;1591;
KF;2132;Nordanstig;Moderaterna;M;1;13.94079708946585
KF;2132;Nordanstig;Monisterna; ;1502;
KF;2132;Nordanstig;Mälaröarnas parti; ;1440;
KF;2132;Nordanstig;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2132;Nordanstig;NaturFilosoferna; ;1460;
KF;2132;Nordanstig;Nix to the Six; ;1519;
KF;2132;Nordanstig;nordanstigspartiet.se;nop;1343;4.150818587729453
KF;2132;Nordanstig;NY REFORM; ;1528;
KF;2132;Nordanstig;Nya Frihetspartiet; ;1443;
KF;2132;Nordanstig;Nya Samhällspartiet; ;1438;
KF;2132;Nordanstig;OK; ;1478;
KF;2132;Nordanstig;Ond Kyckling Partiet; ;1472;
KF;2132;Nordanstig;Partiet Folkomröstning; ;1578;
KF;2132;Nordanstig;Partiet Nyans; ;1439;
KF;2132;Nordanstig;Partiet Vändpunkt;PV;1430;
KF;2132;Nordanstig;Pax; ;1491;
KF;2132;Nordanstig;Piratpartiet;PP;524;0.0
KF;2132;Nordanstig;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2132;Nordanstig;Rastliberalerna; ;1508;
KF;2132;Nordanstig;Rikspolitiska partiet; ;1496;
KF;2132;Nordanstig;SKP; ;1586;
KF;2132;Nordanstig;SKÅNEPARTIET;SKÅ;54;0.0
KF;2132;Nordanstig;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2132;Nordanstig;Sociallibertarianerna; ;1507;
KF;2132;Nordanstig;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2132;Nordanstig;Stram Kurs Sverige; ;1592;
KF;2132;Nordanstig;Svenska Rikslagen; ;1513;
KF;2132;Nordanstig;SVENSKARNA; ;1444;
KF;2132;Nordanstig;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2132;Nordanstig;Sverigedemokraterna;SD;110;16.86786836447825
KF;2132;Nordanstig;Sverigepartiet; ;1457;
KF;2132;Nordanstig;Swexitpartiet; ;1461;
KF;2132;Nordanstig;Säkerhetspartiet; ;1466;
KF;2132;Nordanstig;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2132;Nordanstig;Valsamverkanspartiet; ;1526;
KF;2132;Nordanstig;Vinningspartiet; ;1468;
KF;2132;Nordanstig;Vänsterpartiet;V;5;9.111956341987762
KF;2132;Nordanstig;Yggdrasil; ;1454;
KF;2132;Nordanstig;Ändrings partiet revolution; ;1404;
